stage_number;race_type;car_number;pit_lap;race_position;tempo_total;tempo_troca_parado;tempo_troca_pneus;pneu1;pneu2;video_link
4;SPRINT;51;12;8;48,751;3,570;2,40;DD;;
4;SPRINT;38;10;3;48,760;4,070;3,00;TD;;
4;SPRINT;7;12;12;48,764;4,090;3,00;TD;;
4;SPRINT;18;13;22;49,105;3,780;3,28;TD;;
4;SPRINT;1;9;1;49,199;3,910;3,16;DD;;
4;SPRINT;19;12;4;49,296;3,840;3,34;TD;;
4;SPRINT;29;13;20;49,313;4,040;2,88;TD;;
4;SPRINT;111;9;18;49,314;4,410;3,72;TD;;
4;SPRINT;10;10;15;49,373;3,940;3,18;TD;;
4;SPRINT;33;11;2;49,383;3,970;2,63;TD;;
4;SPRINT;301;9;28;49,421;4,780;3,41;DD;;
4;SPRINT;95;10;27;49,512;5,220;3,37;TD;;
4;SPRINT;83;9;5;49,515;4,100;2,78;TD;;
4;SPRINT;121;13;19;49,558;4,850;3,43;TD;;
4;SPRINT;8;12;7;49,630;4,160;3,50;TD;;
4;SPRINT;85;9;16;49,673;4,680;3,10;TD;;
4;SPRINT;90;11;21;49,691;4,900;3,53;TD;;
4;SPRINT;11;10;11;49,735;3,590;2,91;TD;;
4;SPRINT;293;12;14;49,742;4,900;3,78;DD;;
4;SPRINT;22;10;24;49,759;4,000;3,00;TD;;
4;SPRINT;0;9;9;49,759;4,720;3,59;DD;;
4;SPRINT;30;10;10;49,907;4,430;2,87;TD;;https://www.youtube.com/watch?v=FFAIC3lxp5U&list=PLfSetIZlzqr-4GQoXswLXJlNYvoOKVHq4&index=40
4;SPRINT;21;9;30;49,999;4,940;3,09;TD;;https://www.youtube.com/watch?v=2lMteebA3YA&list=PLfSetIZlzqr-4GQoXswLXJlNYvoOKVHq4&index=39
4;SPRINT;80;9;13;50,445;4,970;3,78;TD;;
4;SPRINT;81;9;23;50,665;5,120;4,06;TD;;
4;SPRINT;54;11;26;50,769;5,090;3,25;DD;;https://www.youtube.com/watch?v=XfNBR7GIZ28&list=PLfSetIZlzqr-4GQoXswLXJlNYvoOKVHq4&index=41
4;SPRINT;73;12;6;51,065;5,840;4,25;DD;;
4;SPRINT;444;10;25;51,920;7,470;3,81;TD;;
4;SPRINT;24;10;29;53,289;7,870;7,03;TD;;
4;SPRINT;12;12;17;55,550;10,000;2,63;TD;;
4;SPRINT;4;10;DNF;57,793;4,660;3,63;TD;;
4;PRINCIPAL;111;12;10;52,008;6,710;2,28;DD;TD;
4;PRINCIPAL;51;7;14;52,594;;;;;
4;PRINCIPAL;8;8;12;52,970;7,880;7,88;DD;TD;
4;PRINCIPAL;29;7;21;53,255;7,970;2,56;DD;TD;
4;PRINCIPAL;22;8;20;53,952;8,340;2,60;DD;TD;
4;PRINCIPAL;121;13;3;54,159;8,690;8,69;DD;TD;
4;PRINCIPAL;19;7;8;54,233;8,810;3,12;DD;TD;
4;PRINCIPAL;21;22;9;54,524;8,970;2,75;DD;TD;https://www.youtube.com/watch?v=jPqt7Kinm_c&list=PLfSetIZlzqr-4GQoXswLXJlNYvoOKVHq4&index=43
4;PRINCIPAL;90;9;23;54,795;;;;;
4;PRINCIPAL;11;11;1;54,870;9,8;;;;
4;PRINCIPAL;85;7;15;55,008;;;;;
4;PRINCIPAL;33;12;11;55,110;10,290;10,29;DD;TD;
4;PRINCIPAL;73;18;7;55,390;10,310;2,75;DE;TE;
4;PRINCIPAL;27;10;28;55,564;10,150;2,79;DD;TD;https://www.youtube.com/watch?v=kaUn7L0hbZ4&list=PLfSetIZlzqr-4GQoXswLXJlNYvoOKVHq4&index=44
4;PRINCIPAL;30;16;6;55,806;10,180;2,78;DE;TE;https://www.youtube.com/watch?v=kaUn7L0hbZ4&list=PLfSetIZlzqr-4GQoXswLXJlNYvoOKVHq4&index=44
4;PRINCIPAL;10;10;DNF;55,985;10,780;10,78;DE;TE;
4;PRINCIPAL;18;9;22;56,093;10,850;2,85;DD;TD;
4;PRINCIPAL;80;13;5;56,159;11,090;3,56;DE;TE;
4;PRINCIPAL;83;11;4;56,247;10,940;3,03;DE;TE;
4;PRINCIPAL;7;13;2;56,465;11,250;3,50;DE;TE;
4;PRINCIPAL;0;17;16;56,511;10,190;2,87;DD;TD;
4;PRINCIPAL;81;11;29;56,887;;;;;
4;PRINCIPAL;54;7;27;56,976;11,000;2,75;DE;TE;https://www.youtube.com/watch?v=CrmNVv10DXg&list=PLfSetIZlzqr-4GQoXswLXJlNYvoOKVHq4&index=46
4;PRINCIPAL;38;15;13;57,212;12,590;3,35;DE;TE;
4;PRINCIPAL;12;14;17;58,585;13,440;2,94;DE;TE;
4;PRINCIPAL;293;9;19;59,067;13,840;3,28;DD;TD;
4;PRINCIPAL;24;9;25;59,464;14,250;3,72;DD;TD;
4;PRINCIPAL;301;11;24;60,032;15,070;3,06;DD;TD;
4;PRINCIPAL;1;11;18;64,229;;;;;
4;PRINCIPAL;444;9;DNF;67,086;22,250;22,25;;;
